feature_id,coefficient,ground_state
cg17339147,21052.631578947367,0.05
cg17371081,21052.631578947367,0.05
cg17412886,10309.278350515464,0.03
cg17816908,21052.631578947367,0.05
cg17863912,20408.163265306124,0.02
cg18097532,10526.315789473683,0.05
cg18369866,20202.0202020202,0.01
cg18498593,20408.163265306124,0.02
cg19042459,20833.333333333332,0.04
cg19054524,20408.163265306124,0.02
cg19180624,20408.163265306124,0.02
cg19283196,10526.315789473683,0.05
cg19346645,10309.278350515464,0.03
cg19384289,20833.333333333332,0.04
cg19401340,20000.0,0.0
cg19542816,21052.631578947367,0.05
cg19711579,20202.0202020202,0.01
cg19712603,20202.0202020202,0.01
cg19761848,10526.315789473683,0.05
cg20097440,21052.631578947367,0.05
cg20585530,10101.0101010101,0.01
cg20720059,20618.556701030928,0.03
cg20926035,21052.631578947367,0.05
cg21053529,10101.0101010101,0.01
cg21269843,20833.333333333332,0.04
cg21426003,20833.333333333332,0.04
cg21517947,20000.0,0.0
cg21859781,20202.0202020202,0.01
cg22240472,20618.556701030928,0.03
cg22274395,103092.78350515464,0.03
cg22277994,21052.631578947367,0.05
cg22428147,20833.333333333332,0.04
cg22600043,10526.315789473683,0.05
cg22653976,104166.66666666666,0.04
cg22797735,20000.0,0.0
cg23132624,20618.556701030928,0.03
cg23217126,20202.0202020202,0.01
cg23335460,10309.278350515464,0.03
cg23405575,20000.0,0.0
cg23420260,10101.0101010101,0.01
cg23774356,21052.631578947367,0.05
cg23847712,4000.0,0.0
cg24154839,21052.631578947367,0.05
cg24319902,10309.278350515464,0.03
cg24891539,21052.631578947367,0.05
cg24989962,10309.278350515464,0.03
cg25116388,21052.631578947367,0.05
cg25307168,21052.631578947367,0.05
cg25599538,103092.78350515464,0.03
cg25640822,21052.631578947367,0.05
cg25682299,20618.556701030928,0.03
cg25951981,20408.163265306124,0.02
cg25993718,10416.666666666666,0.04
cg26124980,20408.163265306124,0.02
cg26332560,21052.631578947367,0.05
cg26410450,21052.631578947367,0.05
cg26554592,10204.081632653062,0.02
cg26565021,20833.333333333332,0.04
cg27058486,10101.0101010101,0.01
cg27176138,10309.278350515464,0.03
cg27254482,10204.081632653062,0.02
cg27363829,10416.666666666666,0.04
cg27505273,20618.556701030928,0.03
cg27625055,104166.66666666666,0.04
cg27648075,21052.631578947367,0.05
