feature_id,coefficient,ground_state
cg08578136,20202.0202020202,0.01
cg08616702,10309.278350515464,0.03
cg04549460,20618.556701030928,0.03
cg10824063,10526.315789473683,0.05
cg12843518,10204.081632653062,0.02
cg24892510,20833.333333333332,0.04
cg11315153,105263.15789473684,0.05
cg08827307,10526.315789473683,0.05
cg20429172,20618.556701030928,0.03
cg15687855,10204.081632653062,0.02
cg25775322,21052.631578947367,0.05
cg01557027,4000.0,0.0
cg18366209,21052.631578947367,0.05
cg04792712,4081.6326530612246,0.02
cg22427475,20833.333333333332,0.04
cg12217987,20408.163265306124,0.02
cg02719752,20618.556701030928,0.03
